PROBLEM_NAME,SIZE,TIME(microseconds),FLAG
../inputs/0_05fill_size9604.mtx,9604,3094,0
../inputs/0_11fill_size23052.mtx,23052,671033595,1
../inputs/0_1fill_size20466.mtx,20466,369475,0
../inputs/0_2fill_size1000.mtx,1000,4125,0
../inputs/0_64fill_size3562.mtx,3562,4645889,1
../inputs/1_07fill_size2003.mtx,2003,1690703,1
../inputs/1_0fill_size1806.mtx,1806,314817,0
../inputs/1_15fill_size1440.mtx,1440,63991,0
../inputs/2_03fill_size9000.mtx,9000,2083272,0
../inputs/3_18fill_size588.mtx,588,76578,0
../inputs/4_4fill_size420.mtx,420,1243,0
