SIZE,TIME(microseconds),FLAG
100,364,0
200,757,0
300,1745,0
400,3890,0
500,7259,0
700,19026,0
1000,56013,0
2000,632169,0
3000,2779313,0
4000,6945736,0
5000,12312539,0
6000,21471853,0
7000,34372865,0
8000,51466511,0
9000,73550238,0
10000,101149400,0
11000,134659975,0
12000,174705595,0
13000,221598974,0
14000,276649739,0
