SIZE,TIME(microseconds),FLAG
100,302,0
200,1014,0
300,2932,0
400,5234,0
500,9143,0
700,17795,0
1000,36700,0
2000,365155,0
3000,2100093,0
4000,5664393,0
5000,11551022,0
6000,20450895,0
7000,32606304,0
8000,49074033,0
9000,70148148,0
10000,96466756,0
11000,128367514,0
12000,167093328,0
13000,212265683,0
14000,265358098,0
