SIZE,TIME(microseconds),FLAG
100,178,0
200,835,0
300,2746,0
400,6600,0
500,12952,0
700,36010,0
1000,103297,0
2000,1046759,0
3000,4367644,0
4000,10660687,0
5000,18674865,0
6000,31011147,0
7000,47620762,0
8000,70138738,0
9000,99298596,0
10000,136599915,0
11000,180026779,0
12000,235126011,0
13000,297144619,0
14000,373316274,0
15000,458696581,0
16000,549412153,0
17000,664771586,0
18000,788078922,0
19000,926098361,0
20000,1081605657,0
