SIZE,TIME(microseconds),FLAG
100,367,0
200,666,0
300,1571,0
400,4511,0
500,5937,0
700,14179,0
1000,38966,0
2000,466006,0
3000,2274788,0
4000,5891347,0
5000,11927834,0
6000,21071294,0
7000,33751936,0
8000,50756549,0
9000,72481818,0
10000,99468146,0
11000,132583058,0
12000,171404919,0
13000,218430781,0
14000,272405101,0
