SIZE,TIME(microseconds),FLAG
100,416,0
200,1050,0
300,2269,0
400,4128,0
500,7303,0
700,18166,0
1000,47907,0
2000,387877,0
3000,2151507,0
4000,6092620,0
5000,12098271,0
6000,20424965,0
7000,32267316,0
8000,47839422,0
9000,68199923,0
10000,93126025,0
11000,123389678,0
12000,160201411,0
13000,203119881,0
14000,253027170,0
15000,312053891,0
16000,378729190,0
