SIZE,TIME(microseconds),FLAG
100,506,0
200,1345,0
300,2256,0
400,4005,0
500,7485,0
700,16535,0
1000,43191,0
2000,362045,0
3000,2277361,0
4000,6230604,0
5000,12276519,0
6000,21063745,0
7000,32876717,0
8000,49376924,0
9000,69360004,0
10000,95968988,0
11000,126078542,0
12000,164631972,0
13000,207384116,0
14000,261675648,0
