SIZE,TIME(microseconds),FLAG
100,379,0
200,1024,0
300,2287,0
400,4512,0
500,8419,0
700,19680,0
1000,51916,0
2000,426743,0
3000,2059198,0
4000,5778358,0
5000,11940848,0
6000,20675054,0
7000,32631295,0
8000,48542537,0
9000,68978805,0
10000,94345962,0
11000,125010925,0
12000,162287441,0
13000,205606759,0
14000,256794501,0
15000,315838688,0
16000,382503013,0
17000,459623182,0
