SIZE,TIME(microseconds),FLAG
100,460,0
200,2496,0
300,8092,0
400,20722,0
500,37688,0
700,106107,0
1000,269072,0
2000,2500908,0
3000,8564263,0
4000,20291519,0
5000,39532438,0
6000,68364827,0
7000,108492581,0
8000,161871861,0
9000,230770454,0
10000,316709854,0
11000,384640522,0
12000,547151469,0
13000,695519204,0
14000,868692181,0
15000,1068734938,0
16000,1297093424,0
17000,1556388602,0
18000,1742570524,0
19000,2173123910,0
20000,2447280262,0
