SIZE,TIME(microseconds),FLAG
100,2039248,0
200,8076021,0
300,2909210,0
400,42836,0
500,21269,0
700,48525,0
1000,100235,0
2000,1220495,0
3000,3701337,0
4000,8508394,0
5000,16754451,0
6000,29917904,0
7000,45557328,0
8000,68670524,0
9000,96844610,0
10000,132400001,0
11000,178028521,0
12000,229739436,0
