SIZE,TIME(microseconds),FLAG
100,5690,0
200,3884,0
300,22791,0
400,10722,0
500,28745,0
700,45174,0
1000,226118,0
2000,1244410,0
3000,3557097,0
4000,8699273,0
5000,16928683,0
6000,28904991,0
7000,46656960,0
8000,67592050,0
9000,99793261,0
10000,132588256,0
11000,175493284,0
12000,226712923,0
13000,290221437,0
14000,364600936,0
