SIZE,TIME(microseconds),FLAG
100,2446,0
200,1905,0
300,4853,0
400,23326,0
500,16799,0
700,44399,0
1000,143135,0
2000,1456413,0
3000,4120760,0
4000,8744080,0
5000,17291126,0
6000,30784859,0
7000,53014757,0
8000,72262372,0
9000,107167522,0
10000,143868125,0
11000,182627196,0
12000,237667040,0
13000,306658698,0
14000,378742324,0
15000,465488579,0
16000,566829449,0
17000,680085320,0
