PROBLEM_NAME,SIZE,TIME(microseconds),FLAG
../inputs/0_05fill_size9604.mtx,9604,8635,0
../inputs/0_11fill_size23052.mtx,23052,2371029645,1
../inputs/0_1fill_size20466.mtx,20466,1218961,0
../inputs/0_2fill_size1000.mtx,1000,20243,0
../inputs/0_64fill_size3562.mtx,3562,8690778,1
../inputs/1_07fill_size2003.mtx,2003,2996574,1
../inputs/1_0fill_size1806.mtx,1806,591940,0
../inputs/1_15fill_size1440.mtx,1440,116754,0
../inputs/2_03fill_size9000.mtx,9000,1629422,0
../inputs/3_18fill_size588.mtx,588,329183,0
../inputs/4_4fill_size420.mtx,420,3513,0
../inputs/0_55fill_size36000.mtx,36000,54535716,0
