SIZE,TIME(microseconds),FLAG
100,1281,0
200,3144,0
300,5572,0
400,11161,0
500,20401,0
700,55909,0
1000,179852,0
2000,1367992,0
3000,4584952,0
4000,10770946,0
5000,20984762,0
6000,36113948,0
7000,57168565,0
8000,85108518,0
9000,121318790,0
10000,166556627,0
11000,221676868,0
12000,287728102,0
13000,366021703,0
14000,453457827,0
15000,562113775,0
16000,683104469,0
17000,820531295,0
18000,978783824,0
19000,1154499128,0
20000,1429324480,0
